,id,popularity,artist_ids
40382,https://open.spotify.com/track/0ycFQvBTfuo1LCdG0HhszL  ,1,['5JZ7CnR6gTvEMKX4g70Amv']
40442,https://open.spotify.com/track/00gpGR84M27moP7AFuqHIx  ,0,"['7ao5uJZUsPeVpWlNkkjWyx', '3gGUMEwIX6XodWsYEvKSal']"
40738,https://open.spotify.com/track/2Mm239hUicUXlB44D2AACJ  ,0,"['7wlFDEWiM5OoIAt8RSli8b', '1gPhS1zisyXr5dHTYZyiMe']"
40852,https://open.spotify.com/track/5PIBgH1cUFwu5IiUk9tnN9  ,0,"['7dGJo4pcD2V6oG8kP0tJRR', '6vWDO969PvNqNYHIOW5v0m']"
40867,https://open.spotify.com/track/2rozzUGTRWqhTa2NzJAl8I  ,0,"['7dGJo4pcD2V6oG8kP0tJRR', '3DiDSECUqqY1AuBP8qtaIa']"
40877,https://open.spotify.com/track/0OMt4Qyetdbw2eUEvKBdHH  ,0,['7dGJo4pcD2V6oG8kP0tJRR']
40880,https://open.spotify.com/track/2MdMjF20umbTe4y2FgdnG8  ,0,"['7dGJo4pcD2V6oG8kP0tJRR', '0FTrIsp2Mg7Bkf8eXQrISa']"
40882,https://open.spotify.com/track/5p9ufaI7TwrlXtmiKCz3q3  ,0,"['7dGJo4pcD2V6oG8kP0tJRR', '3NPpFNZtSTHheNBaWC82rB']"
40885,https://open.spotify.com/track/4g2j0YZdGB8x5vQjXmJsKN  ,0,['7dGJo4pcD2V6oG8kP0tJRR']
40890,https://open.spotify.com/track/107CfwBqfICzcKur8k7UCA  ,0,"['7dGJo4pcD2V6oG8kP0tJRR', '4utLUGcTvOJFr6aqIJtYWV']"
40906,https://open.spotify.com/track/6Ww0J5EFjiPxkgZpEkRQVN  ,0,"['7dGJo4pcD2V6oG8kP0tJRR', '0cGUm45nv7Z6M6qdXYQGTX']"
40922,https://open.spotify.com/track/3IkACj2ZEsmDLzhQNBW2XH  ,0,['7dGJo4pcD2V6oG8kP0tJRR']
